,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
9,2010,Cardano,ADA,cardano,1144,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35624671812.692,36798870281.388,False,,10,,,,2024-04-19T14:31:00.000Z,0.4685895643261068,562612928.4344442,8.9135,-0.31678835,2.52802637,-17.07871638,-23.21340626,-24.49196851,-8.66622834,16693349443.969883,0.7138,21086530394.67,,2024-04-19T14:31:00.000Z,,,,,,2024-04-19 20:18:35.438529
10,5994,Shiba Inu,SHIB,shiba-inu,794,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,11,,,,2024-04-19T14:31:00.000Z,2.2710010198722086e-05,635735634.9389197,12.4719,-0.63850668,-0.15550925,-15.84199325,-11.74267151,133.65608493,141.67632049,13382768529.555141,0.576,13388325116.71,,2024-04-19T14:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-04-19 20:18:35.438529
11,5805,Avalanche,AVAX,avalanche,715,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377990615.8286095,436680255.8286095,False,,12,,,,2024-04-19T14:31:00.000Z,34.940437837682765,647139842.1781284,-7.209,-1.02109134,-0.81339474,-21.4361257,-34.93340179,-12.00423626,7.77343432,13207157615.586958,0.5647,25008573623.62,,2024-04-19T14:31:00.000Z,,,,,,2024-04-19 20:18:35.438529
12,6636,Polkadot,DOT,polkadot-new,746,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1435199497.9232976,1435199497.9232976,True,,13,,,,2024-04-19T14:32:00.000Z,6.732205751755913,275049886.4382507,27.0215,-0.71071524,-0.53448521,-17.78602546,-26.20288084,-12.37705045,-1.37977187,9662058314.836424,0.4158,9662058314.84,,2024-04-19T14:32:00.000Z,,,,,,2024-04-19 20:18:35.438529
13,1958,TRON,TRX,tron,972,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87606885505.59564,87606981023.8202,True,,14,71659659264.0,7842498242.280514,,2024-04-19T14:31:00.000Z,0.10944090891345316,458671627.83140284,11.7417,0.11095386,0.23077068,-9.17647424,-6.90015526,-19.44043698,-0.47015676,9587777176.809214,0.4099,9587787630.41,,2024-04-19T14:31:00.000Z,,,,,,2024-04-19 20:18:35.438529
14,1831,Bitcoin Cash,BCH,bitcoin-cash,882,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19693496.875,19693496.875,False,,15,,,,2024-04-19T14:31:00.000Z,473.6084507714168,552477617.1043777,-8.2994,-1.05887438,-2.96576135,-18.98808606,26.38406185,76.45120609,99.71423709,9327006545.240488,0.4014,9945777466.2,,2024-04-19T14:31:00.000Z,,,,,,2024-04-19 20:18:35.438529
0,1,Bitcoin,BTC,bitcoin,11013,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19687050.0,19687050.0,False,,1,,,,2024-04-19T14:46:00.000Z,64612.65521618699,49382355229.22416,13.3751,-0.44113841,1.2321874,-7.15085163,0.96004208,24.10279574,55.59456428,1272032573873.8342,54.5492,1356865759539.93,,2024-04-19T14:46:00.000Z,,,,,,2024-04-19 20:32:03.551999
1,1027,Ethereum,ETH,ethereum,8839,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120073358.07268304,120073358.07268304,True,,2,,,,2024-04-19T14:45:00.000Z,3085.345514521486,19897800323.255833,5.731,-0.56587644,0.20810057,-10.84052049,-8.29634745,6.30669998,25.29165989,370467796743.0849,15.8869,370467796743.08,,2024-04-19T14:45:00.000Z,,,,,,2024-04-19 20:32:03.551999
2,825,Tether USDt,USDT,tether,83521,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,109469563907.17447,111941048614.43317,True,,3,,,,2024-04-19T14:45:00.000Z,1.0004198802570494,83031330030.9585,10.6334,-0.02832496,-0.03313672,0.09149568,0.03938367,0.0391421,0.10386141,109515528015.8069,4.6964,111988050450.7,,2024-04-19T14:45:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-19 20:32:03.551999
3,1839,BNB,BNB,bnb,2151,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149533416.10078737,149533416.10078737,False,,4,,,,2024-04-19T14:45:00.000Z,558.4987132913644,1335476633.8358543,-23.0918,-0.51309086,0.94546048,-8.51214017,6.12987333,58.74176382,77.90609417,83514220486.35194,3.5814,83514220486.35,,2024-04-19T14:45:00.000Z,,,,,,2024-04-19 20:32:03.551999
